Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_270_1157,VSS,Metal1,685.2845,1082.5575,0.012197
FILLER_270_1151,VSS,Metal1,665.4600,1082.2685,0.012197
FILLER_270_1087,VSS,Metal1,646.0845,1082.5575,0.012197
FILLER_270_1081,VSS,Metal1,626.2600,1082.2685,0.012197
FILLER_270_1017,VSS,Metal1,606.8845,1082.5575,0.012196
FILLER_270_1011,VSS,Metal1,587.0600,1082.2685,0.012196
FILLER_270_979,VSS,Metal1,576.6840,1082.5175,0.012195
FILLER_270_971,VSS,Metal1,564.4800,1081.9200,0.012183
FILLER_270_967,VSS,Metal1,562.4200,1082.2685,0.012183
FILLER_270_961,VSS,Metal1,558.6000,1081.9200,0.012170
FILLER_270_959,VSS,Metal1,557.7600,1081.9200,0.012164
FILLER_270_955,VSS,Metal1,555.7000,1082.2685,0.012164
FILLER_270_947,VSS,Metal1,552.2130,1082.3815,0.012160
FILLER_270_941,VSS,Metal1,547.8600,1082.2685,0.012157
FILLER_270_877,VSS,Metal1,528.4845,1082.5575,0.012156
FILLER_270_874,VSS,Metal1,509.8800,1081.9200,0.012149
FILLER_270_870,VSS,Metal1,508.1000,1082.2685,0.012147
FILLER_270_863,VSS,Metal1,504.0000,1081.9200,0.012138
FILLER_270_855,VSS,Metal1,499.5200,1081.9200,0.012137
FILLER_270_819,VSS,Metal1,479.3600,1081.9200,0.012130
FILLER_270_815,VSS,Metal1,477.3000,1082.2685,0.012126
FILLER_270_807,VSS,Metal1,473.8130,1082.3815,0.012121
FILLER_270_804,VSS,Metal1,470.6800,1081.9200,0.012118
FILLER_270_800,VSS,Metal1,468.9000,1082.2685,0.012118
FILLER_270_790,VSS,Metal1,463.3000,1082.2685,0.012116
FILLER_270_782,VSS,Metal1,458.6400,1081.9200,0.012111
FILLER_270_775,VSS,Metal1,454.7200,1081.9200,0.012094
FILLER_270_769,VSS,Metal1,451.0800,1081.9200,0.012085
FILLER_270_767,VSS,Metal1,450.2400,1081.9200,0.012085
FILLER_270_759,VSS,Metal1,446.9330,1082.3815,0.012084
FILLER_270_743,VSS,Metal1,440.1120,1082.4680,0.012080
FILLER_270_737,VSS,Metal1,433.1600,1081.9200,0.012078
FILLER_270_734,VSS,Metal1,431.4800,1081.9200,0.012077
FILLER_270_724,VSS,Metal1,426.3400,1082.2685,0.012077
FILLER_270_716,VSS,Metal1,422.8530,1082.3815,0.012077
FILLER_270_684,VSS,Metal1,411.4840,1082.5175,0.012077
FILLER_270_675,VSS,Metal1,398.9000,1082.2685,0.012075
FILLER_270_667,VSS,Metal1,395.4130,1082.3815,0.012075
FILLER_270_661,VSS,Metal1,391.0600,1082.2685,0.012075
FILLER_270_597,VSS,Metal1,371.6845,1082.5575,0.012071
FILLER_270_591,VSS,Metal1,351.8600,1082.2685,0.012071
FILLER_270_527,VSS,Metal1,332.4845,1082.5575,0.012071
