Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_270_1157,VDD,Metal1,686.7150,1085.0255,2.988985
FILLER_270_1151,VDD,Metal1,666.2200,1085.4075,2.988989
FILLER_270_1087,VDD,Metal1,647.5150,1085.0255,2.988989
FILLER_270_1081,VDD,Metal1,627.0200,1085.4075,2.988992
FILLER_270_1017,VDD,Metal1,608.3150,1085.0255,2.988992
FILLER_270_1011,VDD,Metal1,587.8200,1085.4075,2.988993
FILLER_270_979,VDD,Metal1,578.0355,1085.0710,2.988993
FILLER_270_971,VDD,Metal1,564.4800,1085.8400,2.988994
FILLER_270_967,VDD,Metal1,563.1800,1085.4075,2.988994
FILLER_270_961,VDD,Metal1,558.6000,1085.8400,2.988994
FILLER_270_959,VDD,Metal1,557.7600,1085.8400,2.988994
FILLER_270_955,VDD,Metal1,556.4600,1085.4075,2.988994
FILLER_270_947,VDD,Metal1,553.2265,1085.2630,2.988995
FILLER_270_941,VDD,Metal1,548.6200,1085.4075,2.988995
FILLER_270_877,VDD,Metal1,529.9150,1085.0255,2.988995
FILLER_270_874,VDD,Metal1,509.8800,1085.8400,2.989001
FILLER_270_870,VDD,Metal1,508.8600,1085.4075,2.989001
FILLER_270_863,VDD,Metal1,504.0000,1085.8400,2.989001
FILLER_270_855,VDD,Metal1,499.5200,1085.8400,2.989004
FILLER_270_819,VDD,Metal1,479.3600,1085.8400,2.989009
FILLER_270_815,VDD,Metal1,478.0600,1085.4075,2.989009
FILLER_270_807,VDD,Metal1,474.8265,1085.2630,2.989013
FILLER_270_804,VDD,Metal1,470.6800,1085.8400,2.989018
FILLER_270_800,VDD,Metal1,469.6600,1085.4075,2.989018
FILLER_270_790,VDD,Metal1,464.0600,1085.4075,2.989018
FILLER_270_782,VDD,Metal1,458.6400,1085.8400,2.989022
FILLER_270_775,VDD,Metal1,454.7200,1085.8400,2.989060
FILLER_270_769,VDD,Metal1,451.0800,1085.8400,2.989060
FILLER_270_767,VDD,Metal1,450.2400,1085.8400,2.989060
FILLER_270_759,VDD,Metal1,447.9465,1085.2630,2.989060
