Metric,Value
route__wirelength__iter:1,24529
route__drc_errors__iter:2,0
route__wirelength__iter:2,24527
route__drc_errors,0
route__wirelength,24527
route__vias,519
route__vias__singlecut,519
route__vias__multicut,0
flow__warnings__count:DRT-0349,8
design__disconnected_pin__count,0
design__critical_disconnected_pin__count,0
route__wirelength__max,2085.9
design__instance__count__class:fill_cell,44166
design__instance__area__class:fill_cell,3.12931E+6
timing__unannotated_net__count__corner:nom_tt_025C_3v30,2065
timing__unannotated_net_filtered__count__corner:nom_tt_025C_3v30,0
timing__unannotated_net__count__corner:min_ff_n40C_3v60,2065
timing__unannotated_net_filtered__count__corner:min_ff_n40C_3v60,0
timing__unannotated_net__count__corner:max_ss_125C_3v00,2065
timing__unannotated_net_filtered__count__corner:max_ss_125C_3v00,0
timing__unannotated_net__count,2065
timing__unannotated_net_filtered__count,0
design_powergrid__voltage__worst__net:VDD__corner:max_ss_125C_3v00,3
design_powergrid__drop__average__net:VDD__corner:max_ss_125C_3v00,3
design_powergrid__drop__worst__net:VDD__corner:max_ss_125C_3v00,1.77079E-7
design_powergrid__voltage__worst__net:VSS__corner:max_ss_125C_3v00,1.95691E-7
design_powergrid__drop__average__net:VSS__corner:max_ss_125C_3v00,6.54294E-8
design_powergrid__drop__worst__net:VSS__corner:max_ss_125C_3v00,1.95691E-7
design_powergrid__voltage__worst,1.95691E-7
design_powergrid__voltage__worst__net:VDD,3
design_powergrid__drop__worst,1.95691E-7
design_powergrid__drop__worst__net:VDD,1.77079E-7
design_powergrid__voltage__worst__net:VSS,1.95691E-7
design_powergrid__drop__worst__net:VSS,1.95691E-7
ir__voltage__worst,3
ir__drop__avg,6.4399999999999994332921323010598957381489526596851646900177001953125E-8
ir__drop__worst,1.7700000000000000998986592233574999255552029353566467761993408203125E-7
design__xor_difference__count,0
klayout__antenna_error__count,0
klayout__density_error__count,0
magic__drc_error__count,0
klayout__drc_error__count,0
magic__illegal_overlap__count,0
design__lvs_device_difference__count,0
design__lvs_net_difference__count,0
design__lvs_property_fail__count,0
design__lvs_error__count,0
design__lvs_unmatched_device__count,0
design__lvs_unmatched_net__count,0
design__lvs_unmatched_pin__count,0
