net,length_um
_04781_,126.05µm
net307,126.05µm
net2207,126.05µm
_04779_,126µm
_05860_,126µm
_06438_,126µm
_06500_,126µm
net68,126µm
net734,126µm
u_core.u_master.u_slave.u_core.B2\[21\],125.64µm
u_core.u_master.u_slave.u_core.B2\[37\],125.59µm
net2023,125.59µm
net2465,125.59µm
_04892_,125.54µm
_06275_,125.54µm
_07270_,125.54µm
u_core.u_master.u_slave.u_core.S0\[7\],125.54µm
net461,125.54µm
clknet_6_53_0_clk_IN,125.54µm
_05553_,125.49µm
u_core.u_master.u_slave.u_core.B2\[16\],125.49µm
net1094,125.49µm
net1548,125.49µm
clknet_8_3__leaf_clk_IN,125.08µm
clknet_8_136__leaf_clk_IN,125.08µm
_05846_,125.03µm
u_core.u_master.u_slave.u_core.B4\[7\],125.03µm
net3430,125.03µm
net3467,125.03µm
_04688_,124.98µm
_05763_,124.98µm
u_core.u_master.u_slave.wdata_q\[3\],124.98µm
net1830,124.98µm
clknet_6_30_0_clk_IN,124.98µm
_06019_,124.93µm
net508,124.93µm
net1047,124.93µm
net2981,124.93µm
clknet_6_16_0_clk_IN,124.93µm
_03170_,124.88µm
_07209_,124.88µm
_07289_,124.88µm
net2114,124.88µm
net2896,124.88µm
clknet_6_37_0_clk_IN,124.88µm
u_core.u_master.u_slave.u_core.S1\[25\],124.52µm
_04934_,124.42µm
_06383_,124.42µm
net509,124.42µm
net1552,124.42µm
_04810_,124.37µm
_05947_,124.37µm
net159,124.37µm
clknet_8_203__leaf_clk_IN,124.37µm
_06555_,124.32µm
net1424,124.32µm
net2335,124.32µm
net2355,124.32µm
net2935,124.32µm
net2998,124.32µm
net5804,124.32µm
u_core.u_master.u_slave.u_core.S4\[40\],124.19µm
clknet_6_58_0_clk_IN,123.96µm
clknet_8_181__leaf_clk_IN,123.96µm
net2182,123.91µm
_03333_,123.86µm
_06422_,123.86µm
u_core.u_master.u_slave.blk_bytes\[3\],123.86µm
u_core.u_master.u_slave.u_core.S1\[39\],123.86µm
net438,123.86µm
net1257,123.86µm
net1529,123.86µm
net2851,123.86µm
_04955_,123.81µm
_05827_,123.81µm
_06026_,123.81µm
_08150_,123.81µm
u_core.u_master.u_slave.dout_sh\[3\],123.81µm
net631,123.81µm
net2860,123.81µm
net2866,123.81µm
clknet_6_10_0_clk_IN,123.81µm
_04788_,123.76µm
_05911_,123.76µm
_06419_,123.76µm
_07290_,123.76µm
net160,123.76µm
net231,123.76µm
net2396,123.76µm
net2506,123.76µm
net2649,123.76µm
u_core.u_master.u_slave.u_core.st\[3\],123.5µm
clknet_8_74__leaf_clk_IN,123.5µm
net2061,123.45µm
_03328_,123.35µm
u_core.u_master.u_slave.u_core.S4\[19\],123.35µm
_05964_,123.3µm
u_core.u_master.u_slave.u_core.S0\[15\],123.3µm
net3253,123.3µm
clknet_6_38_0_clk_IN,123.3µm
_04454_,123.25µm
_05178_,123.25µm
_07217_,123.25µm
_08221_,123.25µm
net49,123.25µm
net341,123.25µm
net2075,123.25µm
net2228,123.25µm
net2514,123.25µm
net2533,123.25µm
net2590,123.25µm
_04194_,123.2µm
_05662_,123.2µm
_05740_,123.2µm
_06463_,123.2µm
_08212_,123.2µm
net2264,123.2µm
net3461,122.94µm
clknet_8_154__leaf_clk_IN,122.94µm
clknet_8_201__leaf_clk_IN,122.94µm
net2606,122.79µm
_05112_,122.74µm
net2801,122.74µm
clknet_6_12_0_clk_IN,122.74µm
net5412,122.74µm
_03296_,122.69µm
_05817_,122.69µm
_06371_,122.69µm
_06464_,122.69µm
_05769_,122.64µm
_06256_,122.64µm
net415,122.64µm
net2304,122.64µm
net3148,122.64µm
clknet_6_28_0_clk_IN,122.46µm
clknet_8_184__leaf_clk_IN,122.43µm
_05181_,122.18µm
u_core.u_master.u_slave.key3\[16\],122.18µm
clknet_6_32_0_clk_IN,122.18µm
_03171_,122.13µm
_05855_,122.13µm
_07192_,122.13µm
net173,122.13µm
net834,122.13µm
_05631_,122.08µm
_06518_,122.08µm
_06922_,122.08µm
net143,122.08µm
net2217,122.08µm
clknet_8_98__leaf_clk_IN,121.87µm
u_core.u_master.u_slave.key1\[11\],121.67µm
net3044,121.67µm
clknet_8_37__leaf_clk_IN,121.67µm
clknet_8_94__leaf_clk_IN,121.67µm
_05685_,121.62µm
u_core.u_master.u_slave.key0\[5\],121.62µm
net2848,121.62µm
_05869_,121.57µm
_07320_,121.57µm
_08249_,121.57µm
net2936,121.57µm
_07266_,121.52µm
_08185_,121.52µm
net1677,121.52µm
net2071,121.52µm
net2171,121.52µm
net2474,121.52µm
net3020,121.52µm
_06854_,121.26µm
_06377_,121.24µm
clknet_8_150__leaf_clk_IN,121.16µm
_04930_,121.11µm
clknet_8_84__leaf_clk_IN,121.11µm
_04464_,121.06µm
u_core.u_master.u_slave.dout_sh\[101\],121.06µm
u_core.u_master.u_slave.u_core.B2\[47\],121.06µm
clknet_6_2_0_clk_IN,121.06µm
_04519_,121.01µm
_04883_,121.01µm
_05123_,121.01µm
_07210_,121.01µm
u_core.u_master.u_slave.u_core.S1\[58\],121.01µm
net666,121.01µm
net831,121.01µm
net1700,121.01µm
net2340,121.01µm
net414,120.96µm
net1068,120.96µm
net1425,120.96µm
net2357,120.96µm
u_core.u_master.u_slave.u_core.S1\[32\],120.65µm
_04471_,120.6µm
_05810_,120.5µm
_07464_,120.5µm
_05150_,120.45µm
_06110_,120.45µm
_06435_,120.45µm
_07200_,120.45µm
u_core.u_master.u_slave.u_core.B0\[18\],120.45µm
u_core.u_master.u_slave.u_core.S0\[31\],120.45µm
net793,120.45µm
net1637,120.45µm
net2688,120.45µm
_03223_,120.4µm
_05022_,120.4µm
_07204_,120.4µm
_07357_,120.4µm
_08307_,120.4µm
net1221,120.4µm
net2444,120.4µm
net3113,120.4µm
_05641_,119.94µm
net137,119.94µm
net2447,119.94µm
_04395_,119.89µm
_07310_,119.89µm
net1588,119.89µm
net2188,119.89µm
_05700_,119.84µm
_05714_,119.84µm
net187,119.84µm
net609,119.84µm
net1665,119.84µm
net2070,119.84µm
net2924,119.84µm
u_core.u_master.u_slave.u_core.S1\[18\],119.48µm
_06693_,119.38µm
net1230,119.38µm
clknet_6_3_0_clk_IN,119.38µm
clknet_6_27_0_clk_IN,119.38µm
clknet_6_61_0_clk_IN,119.38µm
_05170_,119.33µm
u_core.u_master.u_slave.key1\[13\],119.33µm
net2919,119.33µm
_06389_,119.28µm
_06576_,119.28µm
_06598_,119.28µm
net944,119.28µm
net2995,119.28µm
net3042,119.28µm
clknet_6_57_0_clk_IN,118.92µm
_04444_,118.87µm
_08217_,118.87µm
clknet_6_47_0_clk_IN,118.87µm
clknet_8_49__leaf_clk_IN,118.87µm
net537,118.82µm
net2978,118.82µm
clknet_6_51_0_clk_IN,118.82µm
_03826_,118.77µm
_05831_,118.77µm
_05883_,118.77µm
_06382_,118.77µm
u_core.u_master.u_slave.u_core.B4\[62\],118.77µm
net71,118.77µm
net1456,118.77µm
net2953,118.77µm
_04785_,118.72µm
_04943_,118.72µm
net60,118.72µm
net182,118.72µm
net285,118.72µm
net2199,118.72µm
net2354,118.72µm
net2425,118.72µm
net2503,118.72µm
net2795,118.72µm
_05719_,118.26µm
_07342_,118.26µm
_05778_,118.21µm
net150,118.21µm
net334,118.21µm
net667,118.21µm
net1051,118.21µm
net1812,118.21µm
net2150,118.21µm
net2202,118.21µm
net1330,118.16µm
net2087,118.16µm
net2297,118.16µm
net2608,118.16µm
net3029,118.16µm
net3136,118.16µm
_06401_,117.82µm
u_core.u_master.u_slave.u_core.st\[1\],117.8µm
_07319_,117.75µm
u_core.u_master.u_slave.key3\[4\],117.75µm
_06744_,117.7µm
clknet_6_54_0_clk_IN,117.7µm
_00359_,117.65µm
_06209_,117.65µm
_06362_,117.65µm
_07245_,117.65µm
net1505,117.65µm
net3006,117.65µm
_03260_,117.6µm
net2569,117.6µm
net3041,117.6µm
net3316,117.6µm
clknet_8_161__leaf_clk_IN,117.6µm
_03332_,117.39µm
clknet_8_178__leaf_clk_IN,117.34µm
u_core.u_master.u_slave.u_core.S0\[29\],117.24µm
_08071_,117.19µm
u_core.u_master.u_slave.key3\[23\],117.14µm
net2027,117.09µm
net2695,117.09µm
u_core.u_master.u_slave.u_core.B4\[19\],117.04µm
net1320,117.04µm
net1722,117.04µm
net2050,117.04µm
net2287,117.04µm
net3107,117.04µm
u_core.u_master.u_slave.u_core.S1\[46\],116.91µm
net419,116.9µm
clknet_8_234__leaf_clk_IN,116.78µm
u_core.u_master.u_slave.u_core.S1\[31\],116.68µm
net185,116.63µm
u_core.u_master.u_slave.u_core.B2\[27\],116.58µm
net2350,116.58µm
clknet_6_1_0_clk_IN,116.58µm
_06584_,116.53µm
net2750,116.53µm
clknet_6_13_0_clk_IN,116.53µm
_04770_,116.48µm
_06161_,116.48µm
net1224,116.48µm
net1278,116.48µm
net2524,116.48µm
net2809,116.48µm
u_core.u_master.u_slave.u_core.S4\[31\],116.17µm
net862,116.07µm
_07311_,116.02µm
net2922,115.97µm
_06663_,115.92µm
_06792_,115.92µm
_07241_,115.92µm
net1182,115.92µm
net1400,115.92µm
net2047,115.92µm
net2315,115.92µm
net2733,115.92µm
clknet_8_91__leaf_clk_IN,115.61µm
_04893_,115.51µm
_06465_,115.51µm
u_core.cmd_rdata\[13\],115.51µm
net2641,115.51µm
_04905_,115.46µm
_05760_,115.46µm
_06808_,115.46µm
net1341,115.46µm
net1426,115.46µm
net2847,115.46µm
clknet_6_56_0_clk_IN,115.46µm
_06179_,115.41µm
_06806_,115.41µm
net3260,115.41µm
_07708_,115.36µm
net2392,115.36µm
net2901,115.36µm
net2914,115.36µm
net2973,115.36µm
clknet_8_166__leaf_clk_IN,115.1µm
clknet_8_175__leaf_clk_IN,115.05µm
_04025_,115.03µm
u_core.u_master.u_slave.u_core.S4\[60\],115µm
net286,114.95µm
_05918_,114.9µm
_04387_,114.85µm
_05633_,114.85µm
_06113_,114.85µm
u_core.u_master.u_slave.wdata_q\[30\],114.85µm
net2383,114.85µm
net2763,114.85µm
net3313,114.85µm
_04996_,114.8µm
net281,114.8µm
net2758,114.8µm
net3058,114.8µm
clknet_8_200__leaf_clk_IN,114.49µm
u_core.u_master.u_slave.u_core.S3\[1\],114.44µm
_03160_,114.39µm
clknet_6_39_0_clk_IN,114.39µm
_08127_,114.34µm
u_core.u_master.u_slave.blk_bytes\[4\],114.34µm
u_core.u_master.u_slave.u_core.st\[0\],114.34µm
clknet_6_55_0_clk_IN,114.34µm
_06203_,114.29µm
net751,114.29µm
net2853,114.29µm
net1109,114.24µm
net2434,114.24µm
net2676,114.24µm
u_core.u_master.u_slave.u_core.S1\[15\],113.93µm
clknet_6_4_0_clk_IN,113.88µm
clknet_8_206__leaf_clk_IN,113.83µm
_05445_,113.78µm
net2379,113.78µm
_04596_,113.73µm
_06586_,113.73µm
u_core.u_master.u_slave.wdata_q\[16\],113.73µm
net2562,113.73µm
net3311,113.73µm
_05783_,113.68µm
_06014_,113.68µm
_06293_,113.68µm
net318,113.68µm
net1448,113.68µm
net2191,113.68µm
net2498,113.68µm
net3173,113.68µm
u_core.u_master.u_slave.u_core.S4\[49\],113.37µm
clknet_8_237__leaf_clk_IN,113.37µm
_04436_,113.32µm
_04462_,113.22µm
_04563_,113.22µm
_05776_,113.22µm
net2486,113.22µm
_05755_,113.17µm
_07839_,113.17µm
net2307,113.17µm
net2555,113.17µm
clknet_6_18_0_clk_IN,113.17µm
_05576_,113.12µm
net209,113.12µm
net337,113.12µm
net2197,113.12µm
net2376,113.12µm
net2599,113.12µm
net2700,113.12µm
clknet_8_80__leaf_clk_IN,113.09µm
clknet_8_183__leaf_clk_IN,112.91µm
clknet_8_95__leaf_clk_IN,112.81µm
u_core.u_master.u_slave.u_core.S1\[30\],112.76µm
u_core.miso_sr\[25\],112.71µm
u_core.u_master.u_slave.u_core.B2\[56\],112.71µm
net2028,112.71µm
net2770,112.66µm
_05983_,112.61µm
net305,112.61µm
net424,112.61µm
net624,112.61µm
net1466,112.61µm
net3062,112.61µm
_07968_,112.56µm
net331,112.56µm
net1155,112.56µm
net2234,112.56µm
net2880,112.56µm
_04666_,112.2µm
u_core.u_master.u_slave.key3\[8\],112.2µm
u_core.u_master.u_slave.u_core.S1\[4\],112.2µm
net2412,112.2µm
clknet_8_204__leaf_clk_IN,112.15µm
u_core.u_master.u_slave.u_core.B4\[6\],112.1µm
net1225,112.05µm
net2168,112.05µm
net2440,112.05µm
net2593,112.05µm
net3312,112.05µm
net5960,112.05µm
net7,112µm
net64,112µm
net2024,112µm
net2347,112µm
_06462_,111.59µm
clknet_8_159__leaf_clk_IN,111.59µm
_04737_,111.54µm
u_core.u_master.u_slave.u_core.B4\[29\],111.54µm
net219,111.54µm
net2600,111.54µm
net2837,111.54µm
net3054,111.54µm
clknet_8_242__leaf_clk_IN,111.54µm
_05143_,111.49µm
_05958_,111.49µm
u_core.u_master.u_slave.key3\[1\],111.49µm
net2520,111.49µm
_02722_,111.44µm
_08155_,111.44µm
u_core.miso_sr\[24\],111.44µm
net956,111.44µm
net1215,111.44µm
net2352,111.44µm
net2956,111.44µm
net3240,111.44µm
_04433_,111.13µm
_07206_,111.08µm
net1923,111.08µm
clknet_8_186__leaf_clk_IN,111.08µm
net5916,111.03µm
u_core.u_master.u_slave.u_core.S0\[59\],110.98µm
net1647,110.98µm
_03162_,110.93µm
_05593_,110.93µm
u_core.u_master.u_slave.core_dout_valid,110.93µm
u_core.u_master.u_slave.u_core.S4\[55\],110.93µm
net1214,110.93µm
net1402,110.93µm
_06472_,110.88µm
_08230_,110.88µm
net148,110.88µm
net1162,110.88µm
net1172,110.88µm
clknet_6_50_0_clk_IN,110.57µm
net1246,110.47µm
_04719_,110.42µm
_06088_,110.42µm
net130,110.42µm
_07833_,110.37µm
u_core.u_master.u_slave.u_core.B2\[8\],110.37µm
net855,110.37µm
_04243_,110.32µm
_05493_,110.32µm
_07281_,110.32µm
u_core.u_master.u_slave.u_core.B2\[15\],110.32µm
net141,110.32µm
net3266,110.32µm
u_core.u_master.u_slave.u_core.S1\[42\],109.96µm
_04411_,109.86µm
_07735_,109.86µm
u_core.u_master.u_slave.key0\[3\],109.86µm
net314,109.86µm
_06137_,109.81µm
_06859_,109.81µm
_06910_,109.81µm
_07340_,109.81µm
u_core.u_master.u_slave.key0\[20\],109.81µm
u_core.u_master.u_slave.u_core.B0\[52\],109.81µm
u_core.u_master.u_slave.u_core.S1\[41\],109.81µm
net28,109.81µm
net1406,109.81µm
net2189,109.81µm
net2375,109.81µm
net3534,109.81µm
_02985_,109.76µm
_03175_,109.76µm
net313,109.76µm
net1344,109.76µm
net1441,109.76µm
net2765,109.76µm
_03334_,109.7µm
_04434_,109.5µm
net966,109.35µm
_08094_,109.3µm
u_core.u_master.u_slave.u_core.B0\[37\],109.3µm
net35,109.3µm
net2452,109.3µm
_06238_,109.25µm
_08179_,109.25µm
net386,109.25µm
net1022,109.25µm
net2162,109.25µm
net3017,109.25µm
_06622_,109.2µm
_07260_,109.2µm
net1275,109.2µm
net2890,109.2µm
clknet_8_160__leaf_clk_IN,109.04µm
clknet_8_155__leaf_clk_IN,108.94µm
u_core.u_master.u_slave.u_core.S4\[48\],108.84µm
clknet_8_88__leaf_clk_IN,108.84µm
clknet_8_103__leaf_clk_IN,108.84µm
clknet_8_247__leaf_clk_IN,108.79µm
_05952_,108.74µm
_06503_,108.74µm
_07827_,108.74µm
net2037,108.74µm
net2446,108.74µm
_05541_,108.69µm
net1043,108.69µm
net2420,108.69µm
net3176,108.69µm
clknet_6_14_0_clk_IN,108.69µm
clknet_6_63_0_clk_IN,108.69µm
_07224_,108.64µm
_07370_,108.64µm
net2337,108.64µm
net2873,108.64µm
net3131,108.64µm
net323,108.4µm
_04476_,108.23µm
u_core.u_master.u_slave.u_core.B2\[26\],108.18µm
net1999,108.18µm
_05614_,108.13µm
_05733_,108.13µm
_05868_,108.13µm
_07219_,108.13µm
_07267_,108.13µm
net321,108.13µm
net2194,108.13µm
_06429_,108.08µm
_07227_,108.08µm
_08226_,108.08µm
net1280,108.08µm
net2136,108.08µm
net2411,108.08µm
_04460_,107.67µm
_04306_,107.62µm
net2609,107.62µm
_06018_,107.57µm
net2505,107.57µm
clknet_6_7_0_clk_IN,107.57µm
_07265_,107.52µm
net151,107.52µm
net184,107.52µm
net2215,107.52µm
net2584,107.52µm
net2788,107.52µm
net3192,107.52µm
_04455_,107.21µm
clknet_8_82__leaf_clk_IN,107.21µm
net2033,107.11µm
net2814,107.11µm
_05663_,107.06µm
net2681,107.06µm
_06167_,107.01µm
u_core.u_master.u_slave.u_core.B4\[33\],107.01µm
net1323,107.01µm
net1418,107.01µm
net2330,107.01µm
_05725_,106.96µm
_07247_,106.96µm
_07317_,106.96µm
u_core.u_master.u_slave.u_core.S0\[50\],106.96µm
net2940,106.96µm
net3212,106.96µm
clknet_8_157__leaf_clk_IN,106.55µm
net3046,106.5µm
clknet_6_19_0_clk_IN,106.5µm
_06908_,106.45µm
_07306_,106.45µm
_07325_,106.45µm
net2255,106.45µm
net2754,106.45µm
_05690_,106.4µm
_06552_,106.4µm
net2082,106.4µm
net2266,106.4µm
_04441_,105.99µm
_04452_,105.94µm
clknet_8_249__leaf_clk_IN,105.94µm
_06420_,105.89µm
_07285_,105.89µm
_07929_,105.89µm
u_core.u_master.u_slave.dout_sh\[37\],105.89µm
u_core.u_master.u_slave.wdata_q\[9\],105.89µm
net163,105.89µm
net335,105.89µm
net1226,105.89µm
net2029,105.89µm
net1398,105.84µm
net1587,105.84µm
net1608,105.84µm
net2341,105.84µm
net2469,105.84µm
net3035,105.84µm
net3161,105.84µm
u_core.u_master.u_slave.u_core.S1\[13\],105.58µm
_04369_,105.43µm
_04593_,105.38µm
_03148_,105.33µm
net333,105.33µm
net859,105.33µm
net1273,105.33µm
net2094,105.33µm
net2840,105.33µm
net2859,105.33µm
net2961,105.33µm
_07238_,105.28µm
_08093_,105.28µm
net338,105.28µm
net1437,105.28µm
net2237,105.28µm
net2877,105.28µm
u_core.u_master.u_slave.u_core.S0\[11\],104.87µm
clknet_8_174__leaf_clk_IN,104.87µm
u_core.u_master.u_slave.key1\[9\],104.82µm
_08089_,104.77µm
u_core.u_master.u_slave.u_core.S1\[57\],104.77µm
net1555,104.77µm
net2898,104.77µm
_05620_,104.72µm
_08357_,104.72µm
net316,104.72µm
net1200,104.72µm
net2275,104.72µm
net2707,104.72µm
_05646_,104.26µm
_07870_,104.26µm
net2833,104.26µm
clknet_6_17_0_clk_IN,104.26µm
_04989_,104.21µm
_07218_,104.21µm
_07230_,104.21µm
_07333_,104.21µm
net1973,104.21µm
net2455,104.21µm
u_core.u_master.u_slave.u_core.B3\[38\],104.16µm
net687,104.16µm
net1339,104.16µm
net2677,104.16µm
_04717_,103.8µm
clknet_6_20_0_clk_IN,103.75µm
clknet_6_62_0_clk_IN,103.75µm
_04619_,103.7µm
_03157_,103.6µm
_07257_,103.6µm
net497,103.6µm
net1584,103.6µm
net3155,103.6µm
_04466_,103.34µm
u_core.u_master.u_slave.u_core.S1\[7\],103.24µm
net3023,103.24µm
u_core.u_master.u_slave.u_core.ci\[2\],103.19µm
clknet_8_173__leaf_clk_IN,103.19µm
_06589_,103.14µm
u_core.u_master.u_slave.key0\[1\],103.14µm
u_core.u_master.u_slave.u_core.B4\[39\],103.14µm
net2277,103.14µm
net3095,103.14µm
_03178_,103.09µm
_06781_,103.09µm
_07302_,103.09µm
net2437,103.09µm
net2523,103.09µm
net2766,103.09µm
_04119_,103.04µm
_07261_,103.04µm
net1203,103.04µm
net1319,103.04µm
net1416,103.04µm
net2994,103.04µm
_08373_,102.68µm
clknet_8_241__leaf_clk_IN,102.68µm
_06266_,102.63µm
net2492,102.63µm
_04440_,102.58µm
_05572_,102.53µm
_05684_,102.53µm
_05735_,102.53µm
net1497,102.53µm
net2537,102.53µm
net2693,102.53µm
net2772,102.53µm
_05901_,102.48µm
_06041_,102.48µm
_07231_,102.48µm
_07363_,102.48µm
net9,102.48µm
net339,102.48µm
net1303,102.48µm
net2404,102.48µm
net2622,102.48µm
net2826,102.48µm
u_core.u_master.u_slave.u_core.S4\[56\],102.17µm
u_core.u_master.u_slave.u_core.S1\[43\],102.07µm
_04879_,102.02µm
_06846_,101.97µm
_07215_,101.97µm
net2117,101.97µm
_04846_,101.92µm
_05880_,101.92µm
net1282,101.92µm
net1316,101.92µm
net1914,101.92µm
net2099,101.92µm
net2184,101.92µm
net2398,101.92µm
net3210,101.92µm
_04477_,101.51µm
u_core.u_master.u_slave.u_core.S1\[24\],101.51µm
_04484_,101.41µm
net2107,101.41µm
net1898,101.36µm
net2060,101.36µm
net2339,101.36µm
net2431,101.36µm
u_core.u_master.u_slave.u_core.S1\[37\],100.95µm
_07240_,100.9µm
u_core.u_master.u_slave.u_core.S4\[6\],100.9µm
net2314,100.9µm
net3101,100.9µm
clknet_6_45_0_clk_IN,100.9µm
_03154_,100.85µm
_08208_,100.85µm
net486,100.85µm
net1165,100.85µm
net2427,100.85µm
net2776,100.85µm
net3238,100.85µm
_02674_,100.8µm
_05995_,100.8µm
net2133,100.8µm
net2146,100.8µm
net2230,100.8µm
net2232,100.8µm
net2363,100.8µm
net2699,100.8µm
net3119,100.8µm
u_core.u_master.u_slave.key1\[18\],100.49µm
u_core.u_master.u_slave.u_core.S4\[58\],100.49µm
net1455,100.39µm
_04745_,100.34µm
_05654_,100.34µm
u_core.u_master.u_slave.key0\[7\],100.34µm
net2106,100.34µm
_04726_,100.29µm
_04859_,100.29µm
_06534_,100.29µm
_06826_,100.29µm
net235,100.29µm
net3015,100.29µm
_05070_,100.24µm
_05739_,100.24µm
_06613_,100.24µm
net2123,100.24µm
net2324,100.24µm
net3506,100.24µm
u_core.u_master.u_slave.u_core.S4\[26\],100.16µm
clknet_8_64__leaf_clk_IN,99.93µm
_04432_,99.78µm
_04815_,99.78µm
_05867_,99.78µm
net2044,99.78µm
net3011,99.78µm
_06601_,99.73µm
u_core.u_master.u_slave.u_core.S4\[18\],99.73µm
net3223,99.73µm
net5823,99.73µm
_06059_,99.68µm
_06491_,99.68µm
_07338_,99.68µm
net933,99.68µm
net1387,99.68µm
net2068,99.68µm
net2080,99.68µm
u_core.u_master.u_slave.key0\[17\],99.5µm
_04458_,99.32µm
u_core.u_master.u_slave.u_core.S4\[52\],99.32µm
_04585_,99.27µm
u_core.u_master.u_slave.awaddr_q\[6\],99.27µm
u_core.u_master.u_slave.blk_last,99.22µm
clknet_6_23_0_clk_IN,99.22µm
clknet_8_240__leaf_clk_IN,99.22µm
_04978_,99.17µm
net303,99.17µm
net2463,99.17µm
clknet_6_34_0_clk_IN,99.17µm
_07369_,99.12µm
u_core.u_master.u_slave.u_core.B4\[58\],99.12µm
net1447,99.12µm
net1993,99.12µm
net2779,99.12µm
_04744_,98.76µm
u_core.u_master.u_slave.key0\[23\],98.76µm
clknet_8_171__leaf_clk_IN,98.76µm
_04560_,98.66µm
u_core.u_master.u_slave.u_core.S1\[23\],98.66µm
u_core.u_master.u_slave.u_core.S1\[61\],98.66µm
_04783_,98.61µm
_06076_,98.61µm
_07360_,98.56µm
net2096,98.56µm
net2893,98.56µm
net2926,98.56µm
u_core.u_master.u_slave.u_core.S1\[11\],98.25µm
u_core.u_master.u_slave.u_core.S4\[54\],98.2µm
_04296_,98.1µm
_04924_,98.1µm
net282,98.1µm
clknet_8_169__leaf_clk_IN,98.1µm
_05217_,98.05µm
u_core.u_master.u_slave.u_core.B4\[37\],98.05µm
net385,98.05µm
net760,98.05µm
net1427,98.05µm
net2259,98.05µm
net2293,98.05µm
net2864,98.05µm
_03305_,98µm
_03324_,98µm
_04118_,98µm
_04581_,98µm
_04829_,98µm
_06776_,98µm
_07220_,98µm
net1039,98µm
net1188,98µm
net1359,98µm
net2140,98µm
u_core.u_master.u_slave.u_core.S1\[6\],97.79µm
clknet_8_239__leaf_clk_IN,97.69µm
clknet_8_248__leaf_clk_IN,97.69µm
_04423_,97.64µm
_04501_,97.59µm
_06857_,97.54µm
u_core.u_master.u_slave.u_core.S4\[51\],97.54µm
_04741_,97.49µm
_07196_,97.49µm
net293,97.49µm
net2147,97.49µm
net2513,97.49µm
_04203_,97.44µm
_05594_,97.44µm
_05977_,97.44µm
_07193_,97.44µm
_07276_,97.44µm
_07284_,97.44µm
net120,97.44µm
net309,97.44µm
net1211,97.44µm
net1237,97.44µm
net2125,97.44µm
net2771,97.44µm
u_core.u_master.u_slave.u_core.S1\[22\],97.23µm
u_core.u_master.u_slave.u_core.S4\[33\],97.03µm
net2284,96.93µm
_06455_,96.88µm
net146,96.88µm
net1145,96.88µm
net1318,96.88µm
net2192,96.88µm
net2248,96.88µm
net2370,96.88µm
net2372,96.88µm
net3197,96.88µm
u_core.u_master.u_slave.u_core.S1\[54\],96.7µm
_04461_,96.52µm
u_core.u_master.u_slave.u_core.S1\[12\],96.52µm
u_core.u_master.u_slave.u_core.S0\[18\],96.47µm
clknet_8_158__leaf_clk_IN,96.47µm
_05922_,96.42µm
net1397,96.42µm
_03010_,96.37µm
_04403_,96.37µm
u_core.u_master.u_slave.araddr_q\[6\],96.37µm
net681,96.37µm
net2495,96.37µm
net2782,96.37µm
_06813_,96.32µm
net559,96.32µm
net930,96.32µm
net950,96.32µm
net2361,96.32µm
net2603,96.32µm
net2906,96.32µm
net3000,96.32µm
clknet_8_172__leaf_clk_IN,96.11µm
clknet_6_43_0_clk_IN,96.01µm
u_core.u_master.u_slave.u_core.S1\[38\],95.96µm
u_core.u_master.u_slave.key3\[17\],95.91µm
_04526_,95.81µm
_05811_,95.81µm
clknet_8_243__leaf_clk_IN,95.81µm
_03245_,95.76µm
_06612_,95.76µm
_07297_,95.76µm
net416,95.76µm
net2063,95.76µm
net2450,95.76µm
net2820,95.76µm
net4370,95.76µm
u_core.u_master.u_slave.u_core.S1\[10\],95.6µm
u_core.u_master.u_slave.u_core.B2\[61\],95.35µm
_06512_,95.3µm
u_core.u_master.u_slave.u_core.B2\[52\],95.3µm
_04503_,95.25µm
_04931_,95.25µm
_07303_,95.25µm
net186,95.25µm
net320,95.25µm
net2870,95.25µm
clknet_6_44_0_clk_IN,95.25µm
_04381_,95.2µm
_06949_,95.2µm
_08204_,95.2µm
net2477,95.2µm
clknet_6_46_0_clk_IN,95.2µm
clknet_6_40_0_clk_IN,94.89µm
net1053,94.79µm
_07963_,94.74µm
_06573_,94.69µm
net1,94.69µm
net2052,94.69µm
_05629_,94.64µm
_06770_,94.64µm
_06940_,94.64µm
_07232_,94.64µm
u_core.u_master.u_slave.u_core.S1\[45\],94.64µm
net1102,94.64µm
net1176,94.64µm
net2457,94.64µm
net2678,94.64µm
_04435_,94.23µm
clknet_8_251__leaf_clk_IN,94.23µm
_03145_,94.18µm
_06480_,94.18µm
u_core.u_master.u_slave.u_core.B2\[5\],94.18µm
net2240,94.18µm
_05433_,94.13µm
net1412,94.13µm
net1938,94.13µm
net2413,94.13µm
_07225_,94.08µm
_08077_,94.08µm
net1233,94.08µm
net2145,94.08µm
net2224,94.08µm
net2551,94.08µm
net2596,94.08µm
net3039,94.08µm
net3318,94.08µm
_04437_,93.87µm
u_core.u_master.u_slave.u_core.S1\[0\],93.77µm
u_core.u_master.u_slave.key2\[2\],93.72µm
_04520_,93.67µm
net2806,93.67µm
clknet_8_90__leaf_clk_IN,93.67µm
clknet_8_231__leaf_clk_IN,93.67µm
u_core.u_master.u_slave.key0\[0\],93.62µm
_03149_,93.57µm
_05866_,93.57µm
net1229,93.57µm
_06621_,93.52µm
_07314_,93.52µm
_07973_,93.52µm
net1269,93.52µm
net1429,93.52µm
net2560,93.52µm
net3019,93.52µm
_04442_,93.36µm
_04582_,93.11µm
