net,length_um
clknet_8_182__leaf_clk_IN,242.17µm
net3436,241.66µm
net1649,241.46µm
net2380,241.46µm
net119,241.36µm
net614,240.95µm
net3499,240.74µm
net692,240.59µm
_04725_,240.49µm
net1673,240.49µm
net3193,240.44µm
net1900,240.34µm
net261,240.29µm
net94,239.98µm
net1672,239.88µm
net3465,239.88µm
net3073,239.47µm
net1189,239.37µm
net1659,239.37µm
net3133,239.32µm
net1680,239.27µm
_04830_,239.22µm
_06437_,239.22µm
net535,239.17µm
net2435,239.17µm
net3426,238.96µm
net477,238.76µm
net3527,238.76µm
net992,238.35µm
net1808,238.3µm
net2432,238.26µm
net3244,237.69µm
net965,237.64µm
net2018,237.54µm
net1743,237.13µm
net2715,237.08µm
net3275,237.08µm
_04817_,236.93µm
net1181,236.93µm
net981,236.67µm
net796,236.57µm
net1893,236.57µm
net877,236.42µm
net1725,236.42µm
net3195,236.42µm
net1484,236.37µm
net1708,236.37µm
net3086,236.11µm
net3378,236.06µm
net621,235.76µm
net1761,235.6µm
net1631,235.5µm
net3137,235.25µm
net996,235.2µm
net172,234.84µm
net2015,234.84µm
net980,234.79µm
net890,234.43µm
net3325,234.38µm
net1567,234.33µm
net3074,234.33µm
clknet_8_142__leaf_clk_IN,233.92µm
net3274,233.87µm
net3333,233.87µm
net548,233.77µm
net851,233.67µm
net1031,233.67µm
net2660,233.67µm
net393,233.62µm
net484,233.62µm
net3200,233.62µm
net599,233.57µm
net790,233.52µm
clknet_8_33__leaf_clk_IN,233.41µm
net3273,233.26µm
net3091,233.11µm
clknet_8_233__leaf_clk_IN,232.75µm
net1742,232.65µm
net3364,232.65µm
net1795,232.6µm
net3226,232.55µm
clknet_8_126__leaf_clk_IN,232.44µm
net3085,232.4µm
net1877,232.09µm
net1335,232.04µm
net391,231.94µm
net1732,231.94µm
net2803,231.58µm
clknet_8_43__leaf_clk_IN,231.58µm
net978,231.53µm
net1368,231.53µm
net2744,231.53µm
net990,231.48µm
net290,231.07µm
net3432,231.07µm
net140,230.87µm
net2725,230.82µm
net3351,230.59µm
net3484,230.56µm
net863,230.36µm
net2318,230.36µm
net3425,230.31µm
net3341,229.95µm
net1781,229.9µm
net3151,229.29µm
net999,229.24µm
net2009,229.24µm
net3279,229.24µm
net1682,229.19µm
net3096,229.19µm
net198,229.14µm
net1483,229.14µm
net263,229.09µm
net1799,229.09µm
net3457,228.93µm
net3492,228.88µm
net443,228.68µm
net366,228.58µm
net1010,228.58µm
net778,228.53µm
net3202,228.53µm
u_core.u_master.u_slave.u_core.B4\[27\],228.12µm
net3213,228.12µm
net714,228.02µm
net167,227.97µm
net1668,227.97µm
net3428,227.81µm
net3515,227.81µm
net3323,227.56µm
net1863,227.51µm
net561,227.46µm
net899,227.46µm
net1688,227.46µm
net3355,227.2µm
_04771_,227.05µm
net1748,227.05µm
net842,227µm
net1839,227µm
net3390,227µm
net968,226.95µm
net858,226.9µm
net1717,226.9µm
net456,226.39µm
net475,226.34µm
net39,226.29µm
net3204,226.03µm
net3419,226.03µm
net519,225.93µm
net1001,225.93µm
net910,225.88µm
net1190,225.88µm
net2933,225.83µm
net1076,225.78µm
net903,225.52µm
clknet_8_20__leaf_clk_IN,225.52µm
clknet_8_213__leaf_clk_IN,225.01µm
net1968,224.89µm
net1699,224.71µm
net3304,224.66µm
net3396,224.66µm
clknet_8_131__leaf_clk_IN,224.45µm
net3393,224.35µm
u_core.u_master.u_slave.u_core.S1\[34\],224.2µm
net960,224.15µm
net3381,224.1µm
net670,223.64µm
net1771,223.64µm
net817,223.59µm
net227,223.54µm
net407,223.54µm
net1735,223.54µm
net467,223.49µm
net882,223.49µm
net2653,223.49µm
net3340,223.33µm
net558,223.08µm
net2727,223.08µm
net3349,223.08µm
net3479,223.08µm
net269,223.03µm
net1664,223.03µm
net11,222.98µm
net3250,222.93µm
net3437,222.77µm
net3186,222.65µm
clknet_8_46__leaf_clk_IN,222.62µm
net1690,222.34µm
net115,222.25µm
net3500,222.06µm
net1106,222.01µm
net1922,222.01µm
clknet_8_122__leaf_clk_IN,222.01µm
net1996,221.96µm
net1574,221.91µm
net1895,221.91µm
net3287,221.91µm
net444,221.86µm
net702,221.86µm
net1504,221.86µm
net2717,221.81µm
net463,221.5µm
net1782,221.4µm
net574,221.35µm
clknet_8_17__leaf_clk_IN,221.04µm
net3451,220.99µm
net713,220.84µm
net2323,220.79µm
net1187,220.74µm
net1744,220.74µm
net1049,220.69µm
net1759,220.61µm
clknet_8_54__leaf_clk_IN,220.33µm
net900,220.28µm
net3282,220.28µm
net2669,220.23µm
_04734_,220.18µm
net922,220.18µm
net1084,220.13µm
net1030,219.97µm
net3297,219.77µm
net593,219.72µm
net741,219.72µm
net1008,219.72µm
net3117,219.62µm
net3254,219.52µm
net1754,219.26µm
net3360,219.26µm
net3463,219.26µm
net3300,219.16µm
net3410,219.16µm
net423,219.06µm
net832,219.06µm
net951,219.06µm
net1128,219.06µm
net1633,219.01µm
net1377,218.75µm
net2714,218.7µm
net200,218.6µm
net977,218.55µm
net1684,218.55µm
net1660,218.5µm
net696,218.45µm
net1150,218.45µm
net2785,218.4µm
clknet_8_70__leaf_clk_IN,218.29µm
net1779,218.24µm
net3243,218.24µm
net84,218.14µm
net762,218.09µm
net279,217.99µm
net1745,217.99µm
net3258,217.89µm
net982,217.63µm
net2231,217.48µm
net3156,217.43µm
u_core.u_master.u_slave.u_core.B2\[39\],217.33µm
net806,217.33µm
net1988,217.33µm
net3285,217.33µm
net3407,217.27µm
net897,217.22µm
clknet_8_179__leaf_clk_IN,217.17µm
net3326,217.12µm
net1093,216.97µm
net377,216.87µm
net453,216.87µm
net499,216.87µm
net600,216.87µm
net838,216.87µm
_05848_,216.77µm
net3356,216.56µm
clknet_8_78__leaf_clk_IN,216.56µm
_06421_,216.51µm
net3110,216.51µm
net3354,216.51µm
net755,216.46µm
net736,216.41µm
clknet_8_129__leaf_clk_IN,216.36µm
net521,216.26µm
_06498_,216.21µm
net1083,216.16µm
net744,216.05µm
net352,216µm
clknet_8_116__leaf_clk_IN,216µm
net3280,215.95µm
net31,215.8µm
net993,215.8µm
net108,215.75µm
net1506,215.75µm
_04740_,215.6µm
