Metric,Value
route__drc_errors__iter:2,1432
route__wirelength__iter:2,1061139
route__drc_errors__iter:3,14
route__wirelength__iter:3,1059640
route__drc_errors__iter:4,0
route__wirelength__iter:4,1059642
route__drc_errors,0
route__wirelength,1059642
route__vias,139273
route__vias__singlecut,139273
route__vias__multicut,0
flow__warnings__count:DRT-0349,8
design__disconnected_pin__count,0
design__critical_disconnected_pin__count,0
route__wirelength__max,1423.4
design__instance__count__class:fill_cell,50487
design__instance__area__class:fill_cell,295088
timing__unannotated_net__count__corner:nom_tt_025C_3v30,196
timing__unannotated_net_filtered__count__corner:nom_tt_025C_3v30,0
timing__unannotated_net__count__corner:max_ss_125C_3v00,196
timing__unannotated_net_filtered__count__corner:max_ss_125C_3v00,0
timing__unannotated_net__count__corner:min_ff_n40C_3v60,196
timing__unannotated_net_filtered__count__corner:min_ff_n40C_3v60,0
timing__unannotated_net__count,196
timing__unannotated_net_filtered__count,0
design_powergrid__voltage__worst__net:VDD__corner:max_ss_125C_3v00,2.99991
design_powergrid__drop__average__net:VDD__corner:max_ss_125C_3v00,2.99997
design_powergrid__drop__worst__net:VDD__corner:max_ss_125C_3v00,0.0000875773
design_powergrid__voltage__worst__net:VSS__corner:max_ss_125C_3v00,0.000100497
design_powergrid__drop__average__net:VSS__corner:max_ss_125C_3v00,0.0000298215
design_powergrid__drop__worst__net:VSS__corner:max_ss_125C_3v00,0.000100497
design_powergrid__voltage__worst,0.000100497
design_powergrid__voltage__worst__net:VDD,2.99991
design_powergrid__drop__worst,0.000100497
design_powergrid__drop__worst__net:VDD,0.0000875773
design_powergrid__voltage__worst__net:VSS,0.000100497
design_powergrid__drop__worst__net:VSS,0.000100497
ir__voltage__worst,3
ir__drop__avg,0.000028399999999999999138362849482319916205597110092639923095703125
ir__drop__worst,0.000087600000000000001541648753100588464803877286612987518310546875
design__xor_difference__count,0
magic__drc_error__count,0
magic__illegal_overlap__count,0
design__lvs_device_difference__count,0
design__lvs_net_difference__count,0
design__lvs_property_fail__count,0
design__lvs_error__count,0
design__lvs_unmatched_device__count,0
design__lvs_unmatched_net__count,0
design__lvs_unmatched_pin__count,0
